threshold,precision_1,recall_1,f1_1,weighted_score
0.22,0.5307167235494881,0.6673819742489271,0.591254752851711,0.5997378715500697
0.2,0.5031055900621118,0.6952789699570815,0.5837837837837838,0.5986036408279364
0.21,0.5145631067961165,0.6824034334763949,0.5867158671586716,0.5985606872611082
0.23,0.5383244206773619,0.648068669527897,0.5881207400194742,0.5941636195447885
0.18,0.4700139470013947,0.723175965665236,0.569737954353339,0.5935240561069196
0.25,0.564453125,0.6201716738197425,0.591002044989775,0.5932467390833311
0.19,0.4873323397913562,0.7017167381974249,0.575197889182058,0.5931198215202259
0.26,0.572289156626506,0.6115879828326181,0.5912863070539419,0.5926927484482478
0.24,0.5493482309124768,0.6330472103004292,0.5882352941176471,0.5922533458200696
0.27,0.5840336134453782,0.5965665236051502,0.5902335456475584,0.5905901082720614
0.1,0.3289877300613497,0.9206008583690987,0.4847457627118644,0.590567636396742
0.16,0.4363411619283066,0.7575107296137339,0.5537254901960784,0.5898350255119262
0.17,0.45178335535006603,0.7339055793991416,0.5592804578904333,0.588150119656371
0.29,0.6059225512528473,0.5708154506437768,0.5878453038674033,0.5873080294547672
0.31,0.6201923076923077,0.5536480686695279,0.5850340136054422,0.5845964211039318
0.3,0.6073903002309469,0.5643776824034334,0.5850945494994438,0.584532371235291
0.28,0.5925110132158591,0.5772532188841202,0.5847826086956521,0.5844658436176781
0.15,0.41379310344827586,0.7725321888412017,0.5389221556886228,0.5831469516199212
0.14,0.3961456102783726,0.7939914163090128,0.5285714285714286,0.5817406787916662
0.12,0.36363636363636365,0.8412017167381974,0.5077720207253886,0.5812317172031641
0.13,0.3787575150300601,0.8111587982832618,0.5163934426229508,0.5782705388261924
0.11,0.34297872340425534,0.8648068669527897,0.49116392443631934,0.5774833940074647
0.32,0.6209476309226932,0.5343347639484979,0.5743944636678201,0.5743395189425192
0.4,0.6848484848484848,0.48497854077253216,0.5678391959798995,0.5739407533178965
0.39,0.6755162241887905,0.49141630901287553,0.568944099378882,0.5737810101937523
0.36,0.6510989010989011,0.5085836909871244,0.5710843373493976,0.573213480247453
0.37,0.6564245810055865,0.5042918454935622,0.5703883495145631,0.5730654425545197
0.41,0.6871165644171779,0.48068669527896996,0.5656565656565656,0.5723551106525908
0.33,0.6311688311688312,0.5214592274678111,0.5710928319623971,0.5717438701512222
0.34,0.6382978723404256,0.5150214592274678,0.5700712589073634,0.5712718130493186
0.38,0.6666666666666666,0.49356223175965663,0.5672009864364982,0.5712671263686542
0.35,0.6432432432432432,0.5107296137339056,0.569377990430622,0.5710106344305577
0.42,0.6876971608832808,0.4678111587982833,0.5568326947637292,0.5649344970116885
0.43,0.6970684039087948,0.4592274678111588,0.553686934023286,0.563640561814694
0.48,0.7378277153558053,0.4227467811158798,0.5375170532060027,0.5574406566194003
0.5,0.7441860465116279,0.41201716738197425,0.5303867403314917,0.5530971816532014
0.49,0.7394636015325671,0.41416309012875535,0.530949105914718,0.5526283490749857
0.47,0.72,0.4248927038626609,0.5344129554655871,0.5517569807648868
0.46,0.7107142857142857,0.4270386266094421,0.5335120643431636,0.5494070275476977
0.45,0.7067137809187279,0.4291845493562232,0.5340453938584779,0.5491446144007637
0.44,0.698961937716263,0.4334763948497854,0.5350993377483444,0.5486900877242243
